Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
,00:00:01,82,0,00:00,,,,0,,
,00:00:02,82,0,00:00,,,,0,,
,00:00:03,82,0,00:00,,,,0,,
,00:00:04,81,1.3,45:04:00,,,,2.02,,
,00:00:05,80,2.8,21:14,,,,3.32,,
,00:00:06,81,5,12:04,,,,4.8,,
,00:00:07,87,6.4,09:26,,,,6.64,,
,00:00:08,95,7.9,07:38,,,,8.54,,
,00:00:09,99,9.1,06:34,,,,11.38,,
,00:00:10,102,10.1,05:56,,,,13.87,,
,00:00:11,105,10.8,05:32,,,,16.29,,
,00:00:12,107,11.6,05:09,,,,20.72,,
,00:00:13,108,12.3,04:52,,,,23.05,,
,00:00:14,110,12.3,04:52,,,,23.05,,
,00:00:15,112,13.6,04:25,,,,30.92,,
,00:00:16,113,13.8,04:21,,,,34.28,,
,00:00:17,114,14.1,04:16,,,,39.57,,
,00:00:18,115,14.1,04:15,,,,42.85,,
,00:00:19,115,13.9,04:20,,,,46.24,,
,00:00:20,116,13.9,04:19,,,,50.2,,
,00:00:21,116,14.3,04:12,,,,53.93,,
,00:00:22,117,15.3,03:55,,,,60.01,,
,00:00:23,117,16,03:45,,,,63.39,,
,00:00:24,117,16.7,03:36,,,,68.47,,
,00:00:25,117,16.9,03:33,,,,72.6,,
,00:00:26,117,17.2,03:29,,,,77.45,,
,00:00:27,118,17.6,03:25,,,,84.08,,
,00:00:28,118,18.3,03:17,,,,87.61,,
,00:00:29,119,18.7,03:12,,,,93.99,,
,00:00:30,120,18.8,03:12,,,,99.36,,
,00:00:31,121,18.5,03:15,,,,104.34,,
,00:00:32,121,18.5,03:14,,,,109.35,,
,00:00:33,122,17.9,03:22,,,,114.2,,
,00:00:34,123,14.3,04:12,,,,116.99,,
,00:00:35,123,14.3,04:12,,,,116.99,,
,00:00:36,123,14.3,04:13,,,,127.02,,
,00:00:37,123,17.8,03:22,,,,132.54,,
,00:00:38,124,17.8,03:22,,,,132.54,,
,00:00:39,124,16.4,03:39,,,,136.36,,
,00:00:40,125,15.5,03:52,,,,141.99,,
,00:00:41,126,15.1,03:58,,,,147.35,,
,00:00:42,127,16.5,03:38,,,,153.21,,
,00:00:43,127,17.4,03:27,,,,161.39,,
,00:00:44,127,17.9,03:22,,,,167.25,,
,00:00:45,127,17.9,03:22,,,,167.25,,
,00:00:46,126,18,03:20,,,,174.21,,
,00:00:47,127,17.7,03:23,,,,180.47,,
,00:00:48,127,18.1,03:19,,,,187.45,,
,00:00:49,128,18.8,03:11,,,,193.33,,
,00:00:50,128,19.7,03:02,,,,199.16,,
,00:00:51,129,20.2,02:58,,,,204.91,,
,00:00:52,130,20.2,02:58,,,,204.91,,
,00:00:53,130,20.6,02:55,,,,216.34,,
,00:00:54,131,20.3,02:57,,,,222.17,,
,00:00:55,131,19.9,03:01,,,,227.75,,
,00:00:56,132,19.9,03:01,,,,227.75,,
,00:00:57,132,19.1,03:09,,,,239.07,,
,00:00:58,132,19.2,03:07,,,,244.88,,
,00:00:59,133,19.3,03:06,,,,250.5,,
,00:01:00,133,19.3,03:06,,,,250.5,,
,00:01:01,133,19.7,03:03,,,,261.78,,
,00:01:02,134,19.9,03:01,,,,267.58,,
,00:01:03,134,19.9,03:01,,,,273.3,,
,00:01:04,134,19.5,03:05,,,,279,,
,00:01:05,134,19,03:09,,,,284.24,,
,00:01:06,134,19,03:09,,,,284.24,,
,00:01:07,133,18.5,03:15,,,,289.46,,
,00:01:08,134,19,03:10,,,,300.01,,
,00:01:09,134,19.3,03:07,,,,305.7,,
,00:01:10,134,19.3,03:07,,,,305.7,,
,00:01:11,134,18.9,03:11,,,,317.57,,
,00:01:12,134,18.7,03:13,,,,323.12,,
,00:01:13,134,17.8,03:22,,,,328,,
,00:01:14,134,15.5,03:52,,,,331.98,,
,00:01:15,135,13.4,04:28,,,,334.88,,
,00:01:16,133,12.8,04:41,,,,338.53,,
,00:01:17,131,12.9,04:39,,,,343.7,,
,00:01:18,130,12.9,04:39,,,,343.7,,
,00:01:19,130,13.2,04:32,,,,346.78,,
,00:01:20,131,13.8,04:21,,,,351.45,,
,00:01:21,132,15.7,03:49,,,,362.89,,
,00:01:22,133,15.7,03:49,,,,362.89,,
,00:01:23,134,18.5,03:14,,,,376.27,,
,00:01:24,135,18.4,03:16,,,,382.15,,
,00:01:25,136,18.4,03:16,,,,382.15,,
,00:01:26,136,18.3,03:17,,,,387.55,,
,00:01:27,136,17.6,03:24,,,,391.95,,
,00:01:28,136,15.6,03:51,,,,397.45,,
,00:01:29,133,13.6,04:25,,,,404.37,,
,00:01:30,132,13.6,04:25,,,,404.37,,
,00:01:31,132,13.4,04:28,,,,412.95,,
,00:01:32,132,15.4,03:53,,,,419.26,,
,00:01:33,133,17,03:31,,,,425.29,,
,00:01:34,133,17,03:31,,,,425.29,,
,00:01:35,133,17.6,03:24,,,,431.69,,
,00:01:36,133,17.7,03:23,,,,437.3,,
,00:01:37,134,17.8,03:22,,,,446.01,,
,00:01:38,135,18.2,03:18,,,,450.7,,
,00:01:39,135,18.2,03:18,,,,450.7,,
,00:01:40,136,18.9,03:10,,,,462.3,,
,00:01:41,138,18.8,03:12,,,,467.59,,
,00:01:42,139,18.8,03:11,,,,472.81,,
,00:01:43,141,19,03:09,,,,478.18,,
,00:01:44,142,19.2,03:08,,,,483.58,,
,00:01:45,142,18.7,03:13,,,,488.76,,
,00:01:46,144,18.7,03:13,,,,488.76,,
,00:01:47,144,18,03:20,,,,498.88,,
,00:01:48,145,18,03:20,,,,503.77,,
,00:01:49,145,18,03:20,,,,503.77,,
,00:01:50,146,17.6,03:24,,,,508.94,,
,00:01:51,147,17.4,03:27,,,,515.26,,
,00:01:52,147,17.2,03:30,,,,520.36,,
,00:01:53,147,17.2,03:30,,,,520.36,,
,00:01:54,147,16.9,03:33,,,,531.23,,
,00:01:55,147,17,03:32,,,,536.4,,
,00:01:56,147,17,03:32,,,,536.4,,
,00:01:57,148,17.4,03:27,,,,547.16,,
,00:01:58,148,17.4,03:27,,,,547.16,,
,00:01:59,149,17.4,03:27,,,,552.62,,
,00:02:00,149,17.6,03:24,,,,558.59,,
,00:02:01,149,18.1,03:19,,,,567.07,,
,00:02:02,149,18.3,03:17,,,,572.4,,
,00:02:03,149,18.3,03:17,,,,572.4,,
,00:02:04,149,18.5,03:15,,,,582.85,,
,00:02:05,150,18.3,03:17,,,,588.14,,
,00:02:06,150,18.3,03:17,,,,588.14,,
