GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Fri Jun 24 20:03:47 GMT+02:00 2022,24-Jun-2022 20:03:48.565,-5.790440103770867,37.19064412762925,2.544735908508301,3.966719627380371,95.93911002576351,145.94619750976562,0.22723846,5.89938974,8.82499886,0.0724567,
Fri Jun 24 20:03:48 GMT+02:00 2022,24-Jun-2022 20:03:49.564,-5.790426528264752,37.190626129508395,2.094709873199463,4.056915760040283,96.05275616236031,145.94619750976562,0.39311835,7.07459784,6.59145737,-0.00156543,
Fri Jun 24 20:03:49 GMT+02:00 2022,24-Jun-2022 20:03:50.564,-5.790417035590501,37.190612938258624,1.4387964010238647,4.006166934967041,96.13442580308765,145.94619750976562,-0.10959698,7.22115183,6.46446943,0.00703216,
Fri Jun 24 20:03:50 GMT+02:00 2022,24-Jun-2022 20:03:51.564,-5.790409818159809,37.1905992065982,2.226525068283081,4.09479284286499,96.10067788977176,145.94619750976562,0.20073944,7.34747934,6.70075798,0.0328787,
Fri Jun 24 20:03:51 GMT+02:00 2022,24-Jun-2022 20:03:52.564,-5.790398770908571,37.19057261586429,3.4430253505706787,4.108297824859619,96.10578757338226,145.94619750976562,-1.0901854,7.9738698,7.04457474,0.10928124,
Fri Jun 24 20:03:52 GMT+02:00 2022,24-Jun-2022 20:03:53.563,-5.790381214018135,37.19053676248883,5.137354850769043,4.129916191101074,95.77768518030643,155.80665588378906,-1.43181884,6.44332361,7.25901842,0.01912349,
Fri Jun 24 20:03:53 GMT+02:00 2022,24-Jun-2022 20:03:54.564,-5.790351369286548,37.19049099028018,6.150956153869629,4.138599395751953,95.5637775072828,153.39425659179688,-1.50671899,5.83399916,7.39479828,-0.00864693,
Fri Jun 24 20:03:54 GMT+02:00 2022,24-Jun-2022 20:03:55.564,-5.790308960697952,37.19044088182383,5.907546520233154,4.144947528839111,95.55000263918191,142.19317626953125,-0.24582706,5.69588232,8.75477219,0.07918717,
Fri Jun 24 20:03:55 GMT+02:00 2022,24-Jun-2022 20:03:56.564,-5.790255841433555,37.190404669258925,5.538919925689697,4.1007890701293945,95.14065722282976,126.07361602783203,0.3426773,6.57145166,7.66173267,0.07864571,
Fri Jun 24 20:03:56 GMT+02:00 2022,24-Jun-2022 20:03:57.564,-5.790206353355834,37.190385306491116,4.230569362640381,4.004411697387695,94.76895279902965,118.59970092773438,0.27386796,5.95264578,7.0739851,-0.0381521,
Fri Jun 24 20:03:57 GMT+02:00 2022,24-Jun-2022 20:03:58.564,-5.790170561817496,37.19037709300842,2.551152467727661,3.943894386291504,94.6118949232623,123.85379028320312,0.07905654,5.94557858,7.61315918,0.0255311,
Fri Jun 24 20:03:58 GMT+02:00 2022,24-Jun-2022 20:03:59.563,-5.790148395892493,37.19036841043412,1.6534184217453003,3.9518721103668213,94.3843485135585,119.61003875732422,-0.03898718,7.69879484,5.34200048,-0.02578133,
