c1,c2,c3
10698,-615,1545
10358,-73,223
10282,95,-628
11408,-499,-1118
11126,-494,-789
9158,117,846
7761,67,1299
6909,-740,-233
5515,-1114,-1425
4320,-1015,-1337
4265,-864,-1089
4093,-751,-371
2973,-830,1099
2752,-1382,1435
2888,-1839,429
2496,-1549,-588
1771,-1149,-418
1969,-1468,-92
2464,-1909,158
2276,-2097,1537
2387,-1845,2159
2917,-1140,1354
3358,-618,209
3654,-556,-383
4874,-959,-908
6172,-1032,-189
6870,-724,1563
7725,-361,1982
8725,-360,718
8863,-648,-665
8669,-675,-1565
8703,-1042,-1123
8516,-919,-291
7447,-478,1045
6912,-952,1384
6221,-1545,266
4816,-1545,-307
4015,-1336,-84
4210,-1263,56
3874,-832,1142
2892,-369,3169
2881,-383,3214
3049,-421,1920
3072,-199,1001
3569,157,593
5209,269,614
6427,354,2207
6717,352,4103
7768,-96,4064
8657,-455,2472
8248,-235,1479
8559,-314,597
9584,-633,290
9836,-1057,1865
10257,-1349,2711
11381,-1206,1315
11945,-1061,443
11701,-880,-97
12510,-385,-1269
13315,-316,-375
12478,-26,1112
11322,319,774
11029,-50,-669
9979,-550,-1305
7974,-536,-1677
6803,-318,-1885
6194,-155,-891
4446,132,626
2844,-365,874
2128,-1229,221
1039,-1291,-335
-630,-649,-211
-1504,-654,616
-1751,-987,981
-2105,-1282,991
-1690,-1930,1210
-1021,-1969,1214
-526,-1341,1350
326,-1313,1937
1733,-1855,1861
3227,-2572,1255
4337,-2810,1485
5932,-2463,1447
8096,-2026,850
10117,-1767,283
11612,-1265,-743
13218,-959,-1422
13984,-907,-521
12441,-755,914
10715,-900,559
9582,-1577,-938
7670,-1626,-2270
5500,-1070,-2503
4468,-966,-1265
3133,-801,516
1606,-695,1811
757,-764,2305
87,-553,1276
-772,-196,646
-1277,-361,550
-793,-641,353
-236,-649,1528
405,-713,3138
1771,-914,3330
3142,-967,2680
4210,-896,2582
5797,-875,2465
7726,-665,1369
9531,-522,927
11308,-460,1517
12973,-185,1473
14057,379,1366
14057,1014,1388
13272,1045,338
11991,436,-482
10629,-209,-818
8849,-75,-965
7437,100,-592
6037,287,616
4351,546,1321
3238,241,1295
2232,-198,1214
679,-224,1434
-764,-329,1626
-1629,-773,1925
-2208,-998,2010
-2620,-1075,2739
-2244,-1211,3122
-2017,-1244,2858
-1126,-1747,3041
692,-2054,3059
2984,-1947,2380
5474,-1804,2169
7571,-1924,2951
9760,-2207,3007
11541,-2568,2849
12708,-3080,2986
12741,-2828,2945
12201,-2090,2682
11030,-1414,2194
9544,-952,1087
9141,-996,257
8644,-631,348
8141,-54,1010
7529,46,2291
7334,-781,2884
6641,-1593,2900
5533,-1492,2976
4603,-1441,3038
4075,-1411,2288
3757,-1643,1852
4271,-2273,1852
4782,-2171,2008
4934,-1599,2581
4702,-1200,3041
4913,-1389,2013
5702,-1780,722
5868,-1698,1044
5140,-1232,2065
5554,-1562,1849
6496,-2542,1109
6814,-3257,1035
6351,-2925,1110
6787,-2928,931
7171,-3139,558
7140,-2937,22
7131,-2452,168
6985,-1798,524
6027,-1285,677
5194,-1210,380
4938,-1373,110
4337,-1418,157
2820,-908,595
1954,-839,1389
2247,-1380,1140
2264,-1953,918
1966,-2218,1480
2422,-2019,1537
3227,-1951,1394
3164,-2319,1957
3469,-2674,1746
4725,-2966,1147
5370,-2821,1489
5293,-1838,1818
6434,-1135,1351
7827,-1095,1257
7731,-1251,2009
7878,-1310,2085
9063,-1527,1338
9240,-1331,754
8940,-921,651
9658,-1162,626
10142,-1608,770
9126,-1524,1752
8320,-1712,2164
8334,-2046,930
7529,-1825,159
6009,-1154,611
5859,-1264,572
6569,-1591,222
6020,-1191,1570
5095,-603,2819
4850,-525,1676
4772,-1109,-26
4879,-1495,-724
5806,-1612,-755
6887,-1582,254
6529,-1079,1907
6042,-717,2056
6138,-853,51
5883,-1214,-1291
5417,-1020,-1564
5016,-475,-1164
5090,-460,-377
4350,-629,950
3479,-1008,1310
3271,-1415,507
2617,-1445,297
1441,-1072,457
835,-1093,594
1825,-1888,651
2161,-2046,1415
1774,-2081,2482
2293,-2340,2014
3412,-2303,908
3905,-1934,827
4529,-1753,754
5908,-2046,519
6622,-2105,1403
6791,-1602,2252
7490,-1331,1729
7778,-1123,882
7603,-1074,319
8114,-1216,-291
8946,-1421,8
7903,-732,1797
6724,-68,2407
7207,-589,915
7179,-1390,-551
5818,-1225,-295
5689,-733,340
6610,-585,850
5845,-493,2360
4718,-845,3151
4716,-1763,1545
4543,-1705,-503
3839,-879,-596
4049,-615,176
5330,-851,451
5859,-1131,1822
5899,-1176,3024
5911,-1035,1929
5778,-837,5
5814,-763,-676
6364,-394,-705
7460,-663,525
7244,-966,2103
6548,-956,2265
6677,-1137,969
6290,-1268,3
5260,-811,-503
5952,-1448,-333
7020,-2038,488
5976,-1403,2537
4690,-1159,3911
4887,-1501,1996
4974,-1873,-1
3922,-1717,99
3415,-1458,702
4481,-1693,955
5734,-1942,1633
6265,-1789,2883
6558,-1753,2849
5961,-1745,1669
5679,-1705,310
6706,-1773,-229
8162,-1788,518
7650,-1658,2722
7044,-1729,3128
7879,-1909,1246
7542,-1621,328
6140,-1425,549
6007,-1962,74
7088,-2787,97
6922,-2873,1766
6177,-2028,2881
5415,-1309,2398
5359,-1669,753
4838,-2062,-351
4471,-2526,-6
4939,-2667,441
5417,-2043,1289
5868,-1434,2171
5511,-1128,2001
4347,-1538,1239
3747,-2164,142
4983,-2146,-1086
5732,-1794,-266
4234,-1184,2389
3048,-760,3110
3981,-1585,1658
4187,-2266,754
3142,-2002,211
3169,-1479,-246
3430,-1367,542
3155,-1513,2000
3258,-1945,2668
4361,-2559,2031
4620,-3008,1815
4617,-2277,1051
5994,-1494,910
7032,-1512,2538
5957,-840,3903
5712,-1003,3844
6869,-1964,1958
6530,-1471,470
6160,-412,-17
7102,-335,-234
7731,-714,-648
7802,-819,116
8234,-721,1619
7596,-419,2095
5635,-533,1520
5245,-1520,41
6633,-2582,-998
5781,-2052,1090
2809,-603,4085
1545,-570,3541
2638,-1965,197
3302,-2505,-1615
2768,-1583,-845
2835,-866,865
3583,-1061,1693
3941,-1265,2512
4765,-1358,2889
5178,-1639,2447
3430,-1049,1321
2442,-653,88
3886,-1170,-1165
4923,-1528,-346
4446,-1487,2866
4626,-1179,4531
4646,-860,3159
4429,-1269,844
3995,-1217,-1399
4577,-1219,-2126
5434,-1550,-800
5745,-1220,1311
5594,-828,3635
5560,-1023,4125
4473,-1227,2345
4232,-1467,-291
5396,-1681,-1368
5493,-1285,473
4219,-476,3508
4814,-722,3983
5778,-1522,1951
5569,-1497,-146
5095,-1244,-681
5746,-991,-1028
6072,-730,-323
5856,-496,1698
5885,-929,3242
5282,-1202,2023
4376,-1068,-106
4766,-781,-1190
4764,-507,-225
3443,-338,2005
2812,-576,3595
3980,-1060,3108
4130,-756,1822
2334,197,1565
2037,287,428
3097,-462,-318
3798,-765,697
3991,-346,3041
4345,99,3918
4101,136,2836
4681,-574,-71
5269,-881,-1172
5280,-283,93
4839,274,2533
5181,544,3134
6024,122,2467
5553,-608,1728
4293,-460,-6
4200,-344,-1096
4978,-623,-735
5494,-463,311
5709,-299,2127
5291,-460,3170
4091,-355,2274
4137,-418,-392
4918,-354,-1625
4763,-377,176
3599,-384,2304
3610,-483,2253
4465,-399,1140
3821,122,589
3157,-33,357
3480,-750,-247
4269,-961,95
3934,-67,1767
3919,439,2821
3732,-108,2701
3763,-772,550
4062,-865,-1117
3851,-632,-913
3246,-207,995
3316,41,2236
4786,-309,1698
4780,-879,1412
3488,-900,287
3952,-651,-1841
4644,-401,-1596
4377,300,691
3982,539,2600
4447,-50,2725
4322,-396,1181
3514,-278,-642
3461,-206,-1251
3073,88,-322
2662,496,781
3116,-82,2034
3853,-482,2119
3433,-11,931
3345,277,-25
3413,550,-57
3001,729,1127
3362,249,2598
4108,-77,2470
3786,18,1382
3192,378,859
3339,851,471
4040,427,925
4409,83,1877
4704,305,2568
4750,161,3089
4235,101,1506
5321,-81,-1031
6429,-313,-720
5497,424,1419
4555,579,3054
5872,-315,2024
6155,-401,516
5145,420,422
4981,833,-225
5798,177,-675
4986,-81,1117
3882,439,2556
3968,750,2577
3903,624,1276
3085,610,-19
3217,75,676
3538,233,1162
3572,702,2005
4442,688,3015
3918,1063,3053
2916,705,2105
3540,31,-214
4845,542,-2008
4990,1010,383
4245,1499,2863
4273,1209,2614
5008,429,1241
4883,577,192
4655,909,-161
3988,833,141
2929,811,956
2626,1011,717
3300,1049,490
2731,1292,1894
2649,1165,1404
3594,707,-196
3171,1166,867
1642,1886,3244
2056,1363,2774
2598,1024,963
2803,905,207
3509,840,-122
4441,803,454
4932,1212,2460
5888,1295,3518
6603,1217,2669
6214,777,1965
6183,693,616
6431,599,-1049
6995,231,-1078
6177,688,1244
6182,1040,1845
6062,350,1469
5305,150,183
5043,278,-1114
4800,134,-1047
3124,277,669
2726,699,1929
3514,472,2038
3058,345,1217
1753,545,491
2113,375,-312
2686,250,-535
2121,429,978
2943,510,2599
3408,500,3362
2858,147,2110
2765,-245,-324
3062,62,-1537
3018,560,67
3831,713,1544
5005,396,1713
5386,167,1461
4498,675,636
5095,372,-1682
5248,-65,-1828
5429,-278,653
5665,402,2270
5304,753,2816
5053,40,980
5442,-264,-2179
4630,-161,-1305
2832,384,1254
2606,488,1484
3921,-362,1264
3965,-506,1256
3485,-271,325
3884,-461,-253
3846,121,541
3425,772,2446
3903,758,3084
4050,15,1917
3460,-432,206
4409,-644,-810
4705,56,89
3610,1343,1897
4130,638,2562
4472,-695,1746
3424,-1033,13
3291,-251,-510
4178,284,205
3813,507,978
3472,148,2370
4433,-450,1492
4297,-787,-120
3673,-292,-456
3646,442,107
3878,678,1056
3824,111,2134
4714,-512,1451
4667,-729,1233
3549,484,414
3578,941,-7
4720,376,33
4956,251,1427
5211,227,2543
4939,99,2336
4038,510,-486
5055,264,-2581
6094,-235,-1663
5416,225,347
4602,1083,1735
5681,981,1056
6274,407,-753
5983,-33,-1361
5289,157,-1429
4721,520,-204
4676,697,919
4997,847,734
5421,628,1425
5018,865,449
4225,1387,-921
4251,721,-187
3763,601,954
3892,655,1764
4801,753,1384
5465,820,158
4961,872,54
4736,1084,333
4826,1171,1056
5415,1312,1929
6084,1405,2320
6316,1158,2320
5584,1383,1798
5133,1542,1169
5038,981,891
4924,1000,1015
5212,1178,2353
5551,1181,2417
4850,1295,1628
4522,931,1625
4691,1154,2374
4547,1159,3526
4166,1569,2708
3890,1559,1568
3591,1128,1098
2348,777,801
2803,438,1506
3803,121,3245
3687,546,3154
2573,861,1913
2118,93,1545
1303,281,533
1799,-180,1022
2016,-383,3082
1714,-21,3383
807,-132,2019
458,-404,553
299,-775,622
477,-780,1718
1005,-539,3038
1101,-171,2878
521,-470,2057
164,-733,989
470,-1014,1276
859,-793,2435
665,-373,2228
947,-813,2619
749,-1073,2453
311,-519,1623
734,-301,1606
1274,-76,2028
1595,250,2849
1802,-19,3101
1789,-223,3240
1756,205,1970
2128,321,2301
2343,91,2739
2348,246,2344
2678,347,2826
2985,437,3035
2508,412,3194
3170,-193,2877
2908,152,2368
3346,746,2660
3630,1015,3316
3923,252,3191
3575,786,2712
3939,934,3193
4509,816,2867
4272,1025,2684
4738,1312,2719
4741,1112,3221
4804,833,2586
4419,985,2613
4659,1179,2447
4938,1147,2464
5194,962,2753
4229,1145,3503
4442,1159,2925
4877,894,1854
4951,641,1708
5010,1260,2011
5549,1645,3578
6199,1285,4219
5282,1159,3804
5853,598,2322
4927,1193,1766
4968,1595,1731
5618,1539,2474
5415,1195,4106
6243,702,2525
5665,1419,2111
4462,1828,2886
4288,1249,1584
4255,784,1180
4466,1116,2340
5251,1266,2919
4828,2044,2412
3750,978,1988
3500,-153,-12
3364,755,-321
3509,1719,2367
4173,1488,3553
3863,1178,2092
3133,380,1565
2910,-27,179
3289,138,-467
3848,598,728
4134,1358,2696
5024,1314,3221
4766,635,3245
3940,788,1247
3303,747,309
3852,650,-248
3574,1142,1745
3979,1158,2745
4150,863,1828
4319,205,426
3773,969,284
3902,1203,1533
4425,788,2089
4485,729,1254
4557,178,687
4212,248,243
4287,453,710
4346,750,1465
4504,675,2236
4744,542,2433
4434,331,1623
2926,821,591
2968,841,130
3554,607,241
3401,375,1387
2767,413,2446
2912,84,1504
3079,-470,-676
2833,211,-511
2416,936,2648
2605,315,2955
3333,-394,13
3789,-374,-750
