center_x,center_y,left_x,left_y,right_x,right_y
-43.05424202862742,-26.95746498058968,-41.14792607630783,-30.47399160354192,-44.96055798094701,-23.440938357637442
-43.05424202862742,-26.031357030558937,-41.15608439271081,-29.552294063397134,-44.95239966454403,-22.51041999772074
-43.54367926585603,-26.031357030558937,-41.68228405391488,-29.571866579333317,-45.40507447779718,-22.490847481784556
-43.54367926585603,-25.10524908131784,-41.71924661311819,-28.66494646952712,-45.36811191859387,-21.54555169310856
-44.03311650300639,-25.10524908131784,-42.24583443594186,-28.683743571008936,-45.82039857007092,-21.526754591626744
-44.03311650300639,-23.870438481013636,-42.67868259072959,-27.63414792480371,-45.38755041528319,-20.106729037223563
-44.52255374015675,-23.870438481013636,-48.12802132402278,-25.60266349575371,-40.91708615629072,-22.138213466273562
-44.52255374015675,-22.944330530982892,-48.147777157133,-24.634820157395033,-40.897330323180505,-21.25384090457075
-45.01199097738536,-22.944330530982892,-48.63721439441031,-24.6348201572906,-41.38676756036041,-21.253840904675183
-45.01199097738536,-22.01822258095215,-48.66919837143871,-23.638356549758885,-41.35478358333201,-20.39808861214541
-45.50142821453572,-22.01822258095215,-49.189775377821995,-23.566155138616754,-41.81308105124945,-20.470290023287543
-45.50142821453572,-20.78341198064794,-49.21997612522775,-22.2573188419821,-41.78288030384369,-19.30950511931378
-45.99086545176433,-20.78341198064794,-49.751539834466236,-22.146250264264015,-42.23019106906242,-19.420573697031866
-45.99086545176433,-19.857304030617197,-49.789034933109065,-21.11185916730169,-42.19269597041959,-18.602748893932702
-46.235584070339506,-19.857304030617197,-50.05806289686672,-21.035716361149717,-42.41310524381229,-18.678891700084677
-46.235584070339506,-18.622493431102637,-50.08112044632521,-19.72333401037412,-42.390047694353804,-17.521652851831153
-46.48030268891468,-18.622493431102637,-50.34756494798168,-19.644394903650745,-42.613040429847686,-17.600591958554528
-46.48030268891468,-17.38768283079843,-50.36788144896256,-18.329346987716715,-42.59272392886681,-16.446018673880143
-46.72502130756811,-17.38768283079843,-50.63143231106912,-18.247888080565186,-42.81861030406711,-16.527477581031672
-46.72502130756811,-16.461574880767685,-50.63143231106912,-17.32178013053444,-42.81861030406711,-15.60136963100093
-46.9697399261433,-16.461574880767685,-50.87615092965713,-17.32178013047617,-43.063328922629466,-15.6013696310592
-46.9697399261433,-15.226764281253127,-50.87615092966996,-16.08696953090337,-43.063328922616634,-14.366559031602884
-47.214458544718475,-15.226764281253127,-51.11564459523827,-16.110363398064464,-43.31327249419868,-14.34316516444179
-47.214458544718475,-14.300656331222383,-51.145767423351415,-15.03876912801013,-43.283149666085535,-13.562543534434635
-47.45917716329365,-14.300656331222383,-51.393878824993294,-15.020463828695222,-43.52447550159401,-13.580848833749544
-47.45917716329365,-13.065845730918175,-51.39702818889291,-13.76821977669923,-43.521326137694395,-12.363471685137121
-47.70389578186884,-13.065845730918175,-51.6610891550618,-13.649472844028683,-43.74670240867587,-12.482218617807668
-47.70389578186884,-12.139737780887431,-51.67510489540701,-12.618797460417415,-43.732686668330665,-11.660678101357448
-47.70389578186884,-10.904927180583224,-51.68591906404802,-11.28372868557349,-43.72187249968965,-10.526125675592958
-47.94861440052226,-10.904927180583224,-51.93747518812453,-11.203238456147842,-43.95975361291999,-10.606615905018606
-47.94861440052226,-9.670116581068664,-51.937044512282675,-9.974131783982612,-43.960184288761845,-9.366101378154715
-47.94861440052226,-8.744008631037921,-51.93658840712536,-9.053949468389131,-43.96064039391916,-8.434067793686712
-47.94861440052226,-7.509198030733714,-51.94198312776775,-7.739428802477552,-43.95524567327677,-7.2789672589898755
-47.94861440052226,-6.58309008070297,-51.94198312776713,-6.813320852457497,-43.95524567327739,-6.352859308948443
-47.94861440052226,-5.656982130672226,-51.94173588999809,-5.891461917191871,-43.95549291104643,-5.422502344152581
-48.193333019097444,-5.656982130672226,-52.18619319451866,-5.895870429957236,-44.20047284367623,-5.418093831387216
-48.193333019097444,-4.730874180641483,-52.18619319451935,-4.969762479915005,-44.20047284367554,-4.491985881367961
-48.193333019097444,-3.496063581126923,-52.18619319451935,-3.7349518804004447,-44.20047284367554,-3.257175281853401
-48.193333019097444,-2.5699556310961795,-52.1803101639866,-2.892466477629376,-44.20635587420829,-2.2474447845629832
-48.43805163767262,-2.5699556310961795,-52.416838513418305,-2.9813617533086383,-44.45926476192694,-2.1585495088837208
-48.43805163767262,-1.6438476810654359,-52.425028782561775,-1.9663585275986133,-44.45107449278347,-1.3213368345322585
-48.43805163767262,-0.40903708076122863,-52.42502878256012,-0.7315479273148919,-44.451074492785125,-0.08652623420756528
-48.43805163767262,0.517070869269515,-52.41589313919053,0.09662231260442822,-44.460210136154714,0.9375194259346017
-48.68277025624781,0.517070869269515,-52.64662972055315,-0.019415987267516033,-44.71891079194246,1.053557725806546
-48.68277025624781,1.4431788193002586,-52.64662972055315,0.9066919627632276,-44.71891079194246,1.9796656758372895
-48.68277025624781,2.3692867693310022,-52.64662972055314,1.8327999127939494,-44.71891079194247,2.905773625868055
-48.92748887490123,2.3692867693310022,-52.86999558931688,1.6935347387846642,-44.98498216048558,3.0450387998773403
-48.92748887490123,3.2953947193617457,-52.837158819113476,2.450124982932349,-45.01781893068898,4.140664455791143
-49.172207493476414,3.2953947193617457,-53.08187743768865,2.4501249829322975,-45.26253754926418,4.140664455791194
-49.172207493476414,4.221502669392489,-53.08187743768865,3.376232932963041,-45.26253754926418,5.066772405821937
-49.41692611205159,4.221502669392489,-53.28418837112576,3.199601196871504,-45.549663852977424,5.243404141913475
-49.41692611205159,5.147610619423233,-53.25795498229374,4.03114422137701,-45.57589724180944,6.2640770174694556
-49.66164473062677,5.147610619423233,-53.47454550473748,3.9385664983151685,-45.84874395651606,6.356654740531297
-49.66164473062677,6.073718569453977,-53.47454550473748,4.864674448345912,-45.84874395651606,7.282762690562041
-49.90636334920195,6.073718569453977,-53.719264123312655,4.864674448345886,-46.09346257509125,7.282762690562068
-49.90636334920195,6.999826518695073,-53.71926412331264,5.7907823975869555,-46.093462575091266,8.208870639803191
-50.39580058643056,6.999826518695073,-54.20870136054124,5.79078239758693,-46.58289981231988,8.208870639803216
-50.39580058643056,7.925934468725816,-54.178817401501995,6.626402331036728,-46.612783771359126,9.225466606414905
-50.64051920500574,7.925934468725816,-54.392037596526244,6.538090904744853,-46.88900081348523,9.313778032706779
-50.64051920500574,8.85204241875656,-54.359067115631944,7.37813555725633,-46.92197129437953,10.325949280256788
-50.88523782358092,8.85204241875656,-54.55004256645624,7.249168064167727,-47.220433080705604,10.454916773345392
-50.88523782358092,9.778150368787303,-54.52883571531459,8.127636993090535,-47.24163993184725,11.428663744484071
-51.37467506080953,9.778150368787303,-55.0182729525432,8.127636993090533,-47.73107716907586,11.428663744484073
-51.37467506080953,10.704258318818047,-54.97893474336302,8.96952141060418,-47.77041537825604,12.438995227031914
-51.864112297959885,10.704258318818047,-55.42801110435493,8.888046520107338,-48.30021349156484,12.520470117528756
-51.864112297959885,11.321663619364974,-55.386784455905534,9.426728035331964,-48.341440140014235,13.216599203397985
-52.3535495351885,11.321663619364974,-55.80283205447471,9.296213026991378,-48.904267015902285,13.347114211738571
-52.3535495351885,12.247771569395718,-55.76867636949782,10.165246970362034,-48.93842270087918,14.330296168429403
-52.842986772338854,12.247771569395718,-56.220960515701165,10.105507956029049,-49.46501302897654,14.390035182762388
-52.842986772338854,13.173879519426462,-56.129703450640726,10.894078327091414,-49.55627009403698,15.45368071176151
-53.33242400956746,13.173879519426462,-56.56829360662033,10.822465487217563,-50.09655441251459,15.525293551635361
-53.33242400956746,13.791284819183742,-56.56829360651739,11.439870786833186,-50.09655441261753,16.1426988515343
-53.82186124671782,13.791284819183742,-57.057730843683984,11.439870786855527,-50.58599164975166,16.14269885151196
-53.82186124671782,14.408690118941022,-57.00696727476138,11.98895881358487,-50.63675521867427,16.828421424297176
-54.556017102521615,14.408690118941022,-57.63818032270903,11.859127434062707,-51.4738538823342,16.958252803819338
-54.556017102521615,15.0260954186983,-57.58156827778072,12.409601565105627,-51.53046592726251,17.642589272290977
-55.04545433967197,15.0260954186983,-58.07100551494827,12.409601565125508,-52.01990316439567,17.642589272271096
-55.04545433967197,15.952203368729045,-58.01740056709706,13.274978010023924,-52.07350811224688,18.629428727434167
-55.77961019547576,15.952203368729045,-58.63435107030712,13.150337108971613,-52.924869320644405,18.754069628486477
-55.77961019547576,16.569608669275972,-58.56516475976714,13.698949203342153,-52.99405563118438,19.44026813520979
-56.269047432626124,16.569608669275972,-59.05460199691755,13.698949203342192,-53.4834928683347,19.440268135209752
-56.269047432626124,17.187013969033252,-59.00000876890941,14.264369587702223,-53.53808609634284,20.10965835036428
-57.00320328842991,17.187013969033252,-59.60434945796288,14.148257874062166,-54.402057118896934,20.225770064004337
-57.00320328842991,17.495716619306716,-59.52265011689273,14.388887419214017,-54.48375645996709,20.602545819399417
-57.7373591442337,17.495716619306716,-60.16952402652542,14.320094792743152,-55.30519426194198,20.67133844587028
-57.7373591442337,18.113121919063996,-60.02233727021896,14.83000221917962,-55.45238101824844,21.396241618948373
-58.471515000037485,18.113121919063996,-60.70433870149896,14.794312144733464,-56.23869129857601,21.431931693394528
-58.471515000037485,18.730527218821276,-60.70433870149895,15.411717444490733,-56.23869129857602,22.04933699315182
-59.205670855763024,18.730527218821276,-61.43849455722448,15.411717444490732,-56.97284715430157,22.04933699315182
-59.205670855763024,19.03922986909474,-61.43849455724089,15.720420094775232,-56.97284715428516,22.358039643414248
-59.939826711566816,19.03922986909474,-62.07374459755808,15.655977815840865,-57.80590882557555,22.422481922348616
-59.939826711566816,19.65663516885202,-61.91982937412833,16.181064790302717,-57.959824049005306,23.132205547401323
-60.6739825673706,19.65663516885202,-62.60673340301354,16.154568035383342,-58.74123173172766,23.158702302320698
-60.6739825673706,19.965337819125484,-62.60673340299874,16.463270685648638,-58.74123173174246,23.46740495260233
-61.40813842309614,19.965337819125484,-63.34088925870949,16.463270685640477,-59.47538758748279,23.46740495261049
-61.40813842309614,20.274040469398948,-63.29551781478256,16.747314079127456,-59.52075903140972,23.80076685967044
-62.38701289747511,20.274040469398948,-64.12473560599356,16.671219381931614,-60.649290188956655,23.87686155686628
-62.38701289747511,20.891445769156228,-64.01393613666171,17.23725355010226,-60.7600896582885,24.545637988210196
-63.1211687532789,20.891445769156228,-64.49319385404017,17.13411332141075,-61.74914365251763,24.648778216901704
-63.1211687532789,21.20014841942969,-64.56853235071276,17.471188964457927,-61.673805155845045,24.929107874401456
-64.10004322765786,21.20014841942969,-65.65049801128114,17.512860803316773,-62.54958844403458,24.88743603554261
-64.10004322765786,21.508851068913508,-65.68496320926772,17.836245910188467,-62.515123246048006,25.18145622763855
-64.83419908338341,21.508851068913508,-66.34882916692412,17.80670362316888,-63.31956899984271,25.210998514658137
-65.81307355776238,21.508851068913508,-67.21766099908527,17.76356948808704,-64.40848611643949,25.254132649739976
-65.81307355776238,22.126256369460435,-67.18509865850329,18.368923921707523,-64.44104845702147,25.883588817213347
-66.54722941356616,22.126256369460435,-67.69784230980305,18.295317846981465,-65.39661651732926,25.957194891939405
-66.54722941356616,22.43495901894425,-67.69784230980304,18.604020496465278,-65.39661651732928,26.265897541423225
-67.28138526936995,22.43495901894425,-68.43199816560683,18.604020496465278,-66.13077237313307,26.265897541423225
-67.28138526936995,22.743661669217715,-68.65341037011085,18.986329221464796,-65.90936016862905,26.500994116970634
-68.26025974374892,22.743661669217715,-69.5204880565576,18.94737076893157,-67.00003143094024,26.53995256950386
-69.23913421812789,22.743661669217715,-70.35714981703052,18.903083441839655,-68.12111861922526,26.584239896595776
-69.23913421812789,23.05236431870153,-70.3313078805348,19.204357472145162,-68.14696055572098,26.9003711652579
-69.97329007385343,23.05236431870153,-71.04074442329535,19.19742706735002,-68.90583572441152,26.907301570053043
-69.97329007385343,23.361066968974995,-71.04074442301359,19.506129717545466,-68.90583572469328,27.216004220404525
-70.95216454823239,23.361066968974995,-72.04433821035204,19.513060122337095,-69.85999088611274,27.209073815612896
-70.95216454823239,23.669769619248456,-72.2749296635463,19.894813665901637,-69.62939943291848,27.444725572595274
-71.93103902261136,23.669769619248456,-73.25380413822663,19.894813666007238,-70.60827390699609,27.444725572489673
-71.93103902261136,23.978472268732272,-73.22182270170401,20.19246150622934,-70.6402553435187,27.764483031235205
-72.66519487841515,23.978472268732272,-73.92542319150466,20.182181368539354,-71.40496656532564,27.77476316892519
-72.66519487841515,24.287174919005736,-73.9559785569162,20.5011641563011,-71.3744111999141,28.07318568171037
-73.64406935279412,24.287174919005736,-74.96683446810796,20.512218965658896,-72.32130423748028,28.062130872352576
-73.64406935279412,24.5958775692792,-74.96683446810798,20.820921615932363,-72.32130423748026,28.370833522626036
-74.62294382717309,24.5958775692792,-75.94570894278836,20.820921616037978,-73.30017871155782,28.37083352252042
-74.62294382717309,24.904580218763016,-75.91372750627576,21.1185694562635,-73.33216014807041,28.69059098126253
-75.35709968289864,24.904580218763016,-76.72912478393123,21.14724777111661,-73.98507458186604,28.66191266640942
-75.35709968289864,25.21328286903648,-76.87172976672714,21.5111354234096,-73.84246959907013,28.91543031466336
-76.33597415727759,25.21328286903648,-77.88642894081805,21.525995252888737,-74.78551937373713,28.900570485184222
-76.33597415727759,25.521985519309943,-77.886428940818,21.834697903162184,-74.78551937373717,29.209273135457703
-77.31484863165656,25.521985519309943,-78.865303415197,21.834697903162194,-75.76439384811611,29.209273135457693
-77.31484863165656,26.139390819067224,-78.82947871547388,22.437243373435763,-75.80021854783924,29.841538264698684
-78.04900448746035,26.139390819067224,-79.6339244693219,22.466785660450796,-76.4640845055988,29.81199597768365
-78.04900448746035,26.448093469340687,-79.7720295866625,22.838220271080196,-76.3259793882582,30.05796666760118
-79.02787896183932,26.448093469340687,-80.78958351949248,22.856938077054792,-77.26617440418616,30.039248861626582
-79.02787896183932,26.756796118824504,-80.82981697300258,23.18565912846345,-77.22594095067606,30.327933109185558
-80.00675343621829,26.756796118824504,-81.85055626495041,23.20709315536975,-78.16295060748617,30.306499082279256
-80.00675343621829,27.37420141937143,-81.80869144790636,23.80306442927519,-78.20481542453022,30.945338409467674
-80.74090929194384,27.37420141937143,-82.60193273898021,23.833496443017022,-78.87988584490746,30.91490639572584
-80.74090929194384,27.682904068855247,-82.73913395394709,24.217778068236804,-78.74268462994058,31.14803006947369
-81.47506514774761,27.682904068855247,-83.51691001764917,24.24330096278956,-79.43322027784606,31.122507174920933
-81.47506514774761,28.300309369402175,-83.51691001789052,24.86070626347977,-79.4332202776047,31.73991247532458
-82.45393962212658,28.300309369402175,-84.49578449202815,24.8607062633365,-80.41209475222502,31.73991247546785
-82.45393962212658,28.917714669159455,-84.49578449178682,25.47811156295052,-80.41209475246634,32.357317775368394
-83.18809547793037,28.917714669159455,-85.32201336382788,25.534462615846437,-81.05417759203287,32.300966722472474
-83.18809547793037,29.22641731943292,-85.40957815559211,25.900005632216676,-80.96661280026863,32.55282900664916
-84.16696995230934,29.22641731943292,-86.38845262975272,25.900005632070844,-81.94548727486597,32.552829006794994
-84.16696995230934,29.8438226191902,-86.38845262953441,26.517410931682328,-81.94548727508428,33.17023430669807
-84.90112580803488,29.8438226191902,-87.12260848547827,26.51741093182813,-82.67964313059149,33.17023430655227
-84.90112580803488,30.46122791894748,-87.12260848569657,27.134816231731204,-82.67964313037318,33.78763960616376
-85.63528166383867,30.46122791894748,-87.93994309846144,27.191895315530918,-83.3306202292159,33.73056052236404
-85.63528166383867,31.07863321870476,-88.06471129581381,27.90091836943317,-83.20585203186353,34.25634806797635
-86.61415613821764,31.07863321870476,-89.09067880009512,27.93748127949404,-84.13763347634016,34.21978515791548
-86.61415613821764,31.696038519251687,-89.0906788000799,28.55488658002897,-84.13763347635538,34.8371904584744
-87.34831199402143,31.696038519251687,-89.82483465606379,28.554886580170955,-84.87178933197907,34.837190458332415
-87.34831199402143,32.31344381900897,-89.8248346562591,29.172291880082224,-84.87178933178376,35.454595757935714
-88.08246784974696,32.31344381900897,-90.55899051198462,29.172291880082216,-85.6059451875093,35.45459575793572
-88.08246784974696,32.93084911876625,-90.60735080477687,29.828436176651763,-85.55758489471705,36.03326206088073
-88.81662370555075,32.93084911876625,-91.39113816990266,29.869497248620835,-86.24210924119885,35.99220098891166
-88.81662370555075,33.548254419313174,-91.39113816970976,30.48690254900554,-86.24210924139174,36.60960628962081
-89.55077956135455,33.548254419313174,-92.1983933774281,30.549898022729135,-86.90316574528099,36.54661081589722
-89.55077956135455,34.165659719070455,-92.26705883938477,31.229364964836204,-86.83450028332432,37.10195447330471
