"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-8.862951398E-1,3.213832855E0,9.461023331E0,1.003121145E1
8.893000000E-6,-8.779537082E-1,3.211993933E0,9.379218102E0,9.952760418E0
1.985456000E-3,-8.721023798E-1,3.203460932E0,9.273202896E0,9.849620117E0
3.985456000E-3,-8.693633676E-1,3.189727783E0,9.200657845E0,9.776618064E0
5.985456000E-3,-8.741039038E-1,3.168227911E0,9.138371468E0,9.711413842E0
7.991706000E-3,-9.005741477E-1,3.141537428E0,9.070758820E0,9.641522534E0
9.985456000E-3,-9.223996997E-1,3.114224434E0,9.027194023E0,9.593719141E0
1.198545600E-2,-9.335950613E-1,3.111188412E0,8.984174728E0,9.553349602E0
1.398545600E-2,-9.594140649E-1,3.089889765E0,8.946623802E0,9.513672875E0
1.598545600E-2,-9.742964506E-1,3.079249859E0,8.918582916E0,9.485365280E0
1.798545600E-2,-9.865451455E-1,3.069490910E0,8.913805008E0,9.478974918E0
1.998545600E-2,-9.970030785E-1,3.056782722E0,8.915910721E0,9.477942801E0
2.198545600E-2,-1.001408339E0,3.040415764E0,8.936759949E0,9.492766986E0
2.398858100E-2,-1.003170490E0,3.049188137E0,8.964830399E0,9.522189003E0
2.598545600E-2,-9.950781465E-1,3.063467264E0,8.981513023E0,9.541623991E0
2.798545600E-2,-9.835284948E-1,3.086623907E0,8.996490479E0,9.561977639E0
2.998545600E-2,-9.622105360E-1,3.094132185E0,9.014533043E0,9.579212341E0
3.200264300E-2,-9.496170282E-1,3.113122940E0,9.047218323E0,9.614856542E0
3.398545600E-2,-9.156385064E-1,3.127622366E0,9.052131653E0,9.620888888E0
3.598545600E-2,-8.975191712E-1,3.132544756E0,9.050733566E0,9.619467522E0
3.798545600E-2,-8.723800778E-1,3.147245169E0,9.058356285E0,9.629123415E0
3.999326800E-2,-8.475090861E-1,3.143989086E0,9.069581032E0,9.636401772E0
4.198545600E-2,-8.257410526E-1,3.153470278E0,9.075125694E0,9.642827876E0
4.398545600E-2,-8.135305643E-1,3.140560627E0,9.072482109E0,9.635086126E0
