Time,Speed (km/h),Distances (m)
00:00:00,0,0
00:00:01,0.6,5.31
00:00:02,0.6,5.31
00:00:03,0.6,5.31
00:00:04,0.9,6.81
00:00:05,1.5,8.08
00:00:06,1.5,8.08
00:00:07,1.4,9.33
00:00:08,1.4,9.33
00:00:09,1.4,9.33
00:00:10,1.4,9.33
00:00:11,1.4,9.33
00:00:12,1.6,10.83
00:00:13,1.8,12.59
00:00:14,1.8,12.59
00:00:15,2.7,15.7
00:00:16,3.5,17.37
00:00:17,4,18.96
00:00:18,3.9,20.66
00:00:19,3.9,20.66
00:00:20,3.6,22.27
00:00:21,3.6,22.27
00:00:22,3.6,22.27
00:00:23,3,23.34
00:00:24,3,23.34
00:00:25,2.1,24.47
00:00:26,2.1,24.47
00:00:27,1.5,25.49
00:00:28,1.5,25.49
00:00:29,1.4,26.76
00:00:30,1.4,26.76
00:00:31,1.4,26.76
00:00:32,1.4,26.76
00:00:33,1.4,26.76
00:00:34,1.4,26.76
00:00:35,1.4,26.76
00:00:36,1.1,26.76
00:00:37,1.1,26.76
00:00:38,1.1,26.76
00:00:39,0.7,26.76
00:00:40,0.7,26.76
00:00:41,0.7,26.76
00:00:42,0,26.76
00:00:43,0,26.76
00:00:44,0,26.76
00:00:45,0,26.76
00:00:46,0,26.76
00:00:47,0,26.76
00:00:48,0.3,27.76
00:00:49,0.3,27.76
00:00:50,0.3,27.76
00:00:51,0.3,27.76
00:00:52,0.3,27.76
00:00:53,1.3,29.02
00:00:54,1.3,29.02
00:00:55,2,30.26
00:00:56,2,30.26
00:00:57,2,30.26
00:00:58,2,30.26
00:00:59,2,30.26
00:01:00,2,30.26
00:01:01,2,30.26
00:01:02,2,30.26
00:01:03,2.6,31.34
00:01:04,2.6,31.34
00:01:05,2.6,31.34
00:01:06,2.6,31.34
00:01:07,2.6,31.34
00:01:08,2.6,31.34
00:01:09,1.6,31.34
00:01:10,1.6,31.34
00:01:11,1.6,31.34
00:01:12,0.9,31.34
00:01:13,0.9,31.34
00:01:14,0.9,31.34
00:01:15,0,31.34
00:01:16,0,31.34
00:01:17,0,31.34
00:01:18,0,31.34
00:01:19,0.1,32.43
00:01:20,0.1,32.43
00:01:21,0.1,32.43
00:01:22,0.1,32.43
00:01:23,0.1,32.43
00:01:24,0.1,32.43
00:01:25,0.1,32.43
00:01:26,0.1,32.43
00:01:27,0.1,32.43
00:01:28,0.1,32.43
00:01:29,0.1,32.43
00:01:30,0,32.43
00:01:31,0,32.43
00:01:32,0,32.43
00:01:33,0,32.43
00:01:34,0,32.43
00:01:35,0,32.43
00:01:36,0,32.43
00:01:37,0,32.43
00:01:38,0,32.43
00:01:39,0,32.43
00:01:40,0,32.43
00:01:41,0,32.43
00:01:42,0,32.43
00:01:43,0,32.43
00:01:44,0,32.43
00:01:45,0,32.43
00:01:46,0,32.43
00:01:47,0,32.43
00:01:48,0,32.43
00:01:49,0,32.43
00:01:50,0,32.43
