Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W)
1,00:00:00,,0,00:00,,,,0,,
,00:00:01,,0,00:00,,,,0,,
,00:00:02,,0.3,195:15:00,,,,1.15,,
,00:00:03,,0.3,195:15:00,,,,1.15,,
,00:00:04,,0.6,100:13:00,,,,2.48,,
,00:00:05,73,0.9,69:27:00,,,,4.64,,
,00:00:06,72,0.9,69:27:00,,,,4.64,,
,00:00:07,69,0.7,88:52:00,,,,5.68,,
,00:00:08,70,0.7,88:52:00,,,,5.68,,
,00:00:09,74,0.5,111:43:00,,,,6.92,,
,00:00:10,80,0.5,117:55:00,,,,8.44,,
,00:00:11,81,0.5,117:55:00,,,,8.44,,
,00:00:12,84,0.5,117:55:00,,,,8.44,,
,00:00:13,87,0.5,117:55:00,,,,8.44,,
,00:00:14,87,1.2,48:15:00,,,,9.91,,
,00:00:15,86,1.2,48:15:00,,,,9.91,,
,00:00:16,83,1.7,35:00:00,,,,10.95,,
,00:00:17,82,1.7,35:00:00,,,,10.95,,
,00:00:18,82,1.7,35:00:00,,,,10.95,,
,00:00:19,92,1.7,35:00:00,,,,10.95,,
,00:00:20,92,1.7,35:00:00,,,,10.95,,
,00:00:21,97,1.6,37:19:00,,,,12.1,,
,00:00:22,100,1.6,37:19:00,,,,12.1,,
,00:00:23,101,1.6,37:19:00,,,,12.1,,
,00:00:24,101,1.6,37:19:00,,,,12.1,,
,00:00:25,101,0.8,72:42:00,,,,13.12,,
,00:00:26,101,0.8,72:42:00,,,,13.12,,
,00:00:27,95,0.8,72:42:00,,,,13.12,,
,00:00:28,96,0.8,72:42:00,,,,13.12,,
,00:00:29,99,0.8,72:42:00,,,,13.12,,
,00:00:30,101,0.3,210:40:00,,,,14.41,,
,00:00:31,103,0.3,210:40:00,,,,14.41,,
,00:00:32,104,0.3,210:40:00,,,,14.41,,
,00:00:33,104,2,29:58:00,,,,19.71,,
,00:00:34,104,4.6,13:10,,,,25.41,,
,00:00:35,104,4.6,13:10,,,,25.41,,
,00:00:36,104,7.7,07:47,,,,31.58,,
,00:00:37,103,9.3,06:29,,,,35.57,,
,00:00:38,102,10.5,05:43,,,,39.64,,
,00:00:39,102,10.5,05:43,,,,39.64,,
,00:00:40,103,11.2,05:21,,,,46,,
,00:00:41,103,11.9,05:03,,,,50.34,,
,00:00:42,101,11.9,05:03,,,,50.34,,
,00:00:43,98,11.8,05:05,,,,56.01,,
,00:00:44,97,11.7,05:08,,,,59.26,,
,00:00:45,96,11.5,05:12,,,,62.96,,
,00:00:46,97,11.6,05:09,,,,66.29,,
,00:00:47,98,11.6,05:09,,,,66.29,,
,00:00:48,99,11.7,05:08,,,,72.08,,
,00:00:49,101,11.7,05:07,,,,75.61,,
,00:00:50,103,11.8,05:06,,,,79.49,,
,00:00:51,106,12.1,04:58,,,,83.8,,
,00:00:52,107,12.1,04:58,,,,83.8,,
,00:00:53,109,12.3,04:53,,,,89.75,,
,00:00:54,110,12.3,04:53,,,,94.11,,
,00:00:55,109,11.7,05:08,,,,97.64,,
,00:00:56,109,11.9,05:04,,,,101.4,,
,00:00:57,109,11.9,05:04,,,,101.4,,
,00:00:58,109,12.4,04:51,,,,108.31,,
,00:00:59,109,13.5,04:27,,,,113.82,,
,00:01:00,109,13.8,04:21,,,,118.2,,
,00:01:01,110,13.8,04:21,,,,118.2,,
,00:01:02,110,13.9,04:18,,,,125.16,,
,00:01:03,111,14,04:18,,,,129.72,,
,00:01:04,110,14,04:18,,,,129.72,,
,00:01:05,110,14.3,04:11,,,,134.98,,
,00:01:06,110,14.7,04:04,,,,141.82,,
,00:01:07,111,14.8,04:02,,,,146.29,,
,00:01:08,111,14.9,04:01,,,,151.47,,
,00:01:09,112,14.9,04:01,,,,151.47,,
,00:01:10,113,14.8,04:04,,,,158.42,,
,00:01:11,113,14.7,04:05,,,,164.02,,
,00:01:12,114,14.4,04:10,,,,168.83,,
,00:01:13,114,14.4,04:10,,,,168.83,,
,00:01:14,113,14.3,04:12,,,,174.89,,
,00:01:15,113,14,04:17,,,,180.5,,
,00:01:16,113,13.5,04:27,,,,184.39,,
,00:01:17,113,13.3,04:30,,,,188.77,,
,00:01:18,113,13.3,04:30,,,,188.77,,
,00:01:19,114,13.1,04:36,,,,192.7,,
