GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),
Fri Jun 24 20:03:06 GMT+02:00 2022,24-Jun-2022 20:03:08.073,-5.792328161253426,37.19293972578942,51.931990582890194,4.699999809265137,98.23871043603867,147.02627563476562,-0.06,0.7,0.59,
Fri Jun 24 20:03:07 GMT+02:00 2022,24-Jun-2022 20:03:09.072,-5.792233459075662,37.19283181697905,52.02199950689737,4.699999809265137,96.80617723427713,146.38311767578125,-0.01,0.42,0.76,
Fri Jun 24 20:03:08 GMT+02:00 2022,24-Jun-2022 20:03:10.072,-5.792145041367601,37.19272538953481,50.78698176312491,4.699999809265137,97.04474659729749,146.1494598388672,-0.02,0.47,0.76,
Fri Jun 24 20:03:09 GMT+02:00 2022,24-Jun-2022 20:03:11.071,-5.792046479576641,37.19261719369239,50.6447294170398,4.699999809265137,96.25110245589167,146.6258087158203,0.04,0.54,0.73,
Fri Jun 24 20:03:10 GMT+02:00 2022,24-Jun-2022 20:03:12.072,-5.791962386425487,37.19250874729776,48.884266512015984,4.699999809265137,97.2140155620873,146.89503479003906,0.03,0.5,0.7,
Fri Jun 24 20:03:11 GMT+02:00 2022,24-Jun-2022 20:03:13.072,-5.791882211364625,37.19241257917709,47.72507502966255,4.699999809265137,97.69258479215205,146.4068603515625,0.04,0.53,0.74,
Fri Jun 24 20:03:12 GMT+02:00 2022,24-Jun-2022 20:03:14.073,-5.791799181473104,37.19231737334795,45.46049417229506,4.699999809265137,98.0617443099618,146.79681396484375,0.01,0.49,0.78,
Fri Jun 24 20:03:13 GMT+02:00 2022,24-Jun-2022 20:03:15.074,-5.791729480958301,37.19222439321013,43.553188696088,4.699999809265137,98.55090958997607,145.63848876953125,0.06,0.43,0.82,
Fri Jun 24 20:03:14 GMT+02:00 2022,24-Jun-2022 20:03:16.074,-5.7916587071274055,37.19213746226674,40.43205535591824,4.699999809265137,98.78655788395554,145.38385009765625,0.07,0.57,0.75,
Fri Jun 24 20:03:15 GMT+02:00 2022,24-Jun-2022 20:03:17.074,-5.791590602078013,37.19205931187956,36.78573434655573,4.699999809265137,98.53859083727002,145.1045684814453,0.04,0.56,0.65,
Fri Jun 24 20:03:16 GMT+02:00 2022,24-Jun-2022 20:03:18.074,-5.791530911785589,37.19198484152559,35.986403465631156,4.699999809265137,98.69525119010359,145.07374572753906,0.02,0.55,0.71,
Fri Jun 24 20:03:17 GMT+02:00 2022,24-Jun-2022 20:03:19.073,-5.791466884385069,37.19190577073914,35.53524647990207,4.699999809265137,98.54343358241022,146.76278686523438,-0.02,0.54,0.73,
Fri Jun 24 20:03:18 GMT+02:00 2022,24-Jun-2022 20:03:20.074,-5.791407522195569,37.19183265403493,31.701591414833274,4.699999809265137,98.27854031138122,145.33595275878906,0.0,0.51,0.76,
Fri Jun 24 20:03:19 GMT+02:00 2022,24-Jun-2022 20:03:21.073,-5.791354637403121,37.191771955922015,29.23139799882574,4.699999809265137,97.92556499689817,146.60244750976562,0.02,0.35,0.81,
Fri Jun 24 20:03:20 GMT+02:00 2022,24-Jun-2022 20:03:22.074,-5.791308530612761,37.191719561037836,25.121308042703504,4.699999809265137,97.42189374100417,146.87684631347656,0.0,0.4,0.83,
Fri Jun 24 20:03:21 GMT+02:00 2022,24-Jun-2022 20:03:23.074,-5.791271385076931,37.19167410515329,16.663416611792854,4.699999809265137,97.39818929880857,143.22393798828125,-0.03,0.62,0.64,
Fri Jun 24 20:03:22 GMT+02:00 2022,24-Jun-2022 20:03:24.074,-5.791251652502,37.19165070102118,8.192126152459082,4.699999809265137,97.53767413645983,147.99041748046875,-0.02,0.72,0.71,
Fri Jun 24 20:03:23 GMT+02:00 2022,24-Jun-2022 20:03:25.075,-5.791240599487688,37.19163210985186,6.109634237564023,4.699999809265137,97.52257918566465,165.02549743652344,-0.11,0.75,0.5,
Fri Jun 24 20:03:24 GMT+02:00 2022,24-Jun-2022 20:03:26.076,-5.791232274320768,37.19160789264398,11.791738960696875,4.699999809265137,97.85101756080985,161.62620544433594,-0.09,0.63,0.63,
Fri Jun 24 20:03:25 GMT+02:00 2022,24-Jun-2022 20:03:27.077,-5.791216459273021,37.1915695154229,19.91849045439585,4.914717197418213,97.8569063898176,160.83250427246094,-0.09,0.72,0.62,
Fri Jun 24 20:03:26 GMT+02:00 2022,24-Jun-2022 20:03:28.075,-5.791187712453473,37.191520509946415,22.181279167035427,4.80684757232666,97.98465423751622,154.63067626953125,-0.03,0.75,0.55,
Fri Jun 24 20:03:27 GMT+02:00 2022,24-Jun-2022 20:03:29.076,-5.791149210399323,37.19146948444225,23.59496721704886,4.670437335968018,98.0135355098173,141.0561981201172,0.06,0.54,0.71,
Fri Jun 24 20:03:28 GMT+02:00 2022,24-Jun-2022 20:03:30.076,-5.791089217504821,37.191416350560274,28.962572856411043,4.588515758514404,97.95113191194832,134.7717742919922,0.03,0.65,0.64,
Fri Jun 24 20:03:29 GMT+02:00 2022,24-Jun-2022 20:03:31.077,-5.7910214369455275,37.19136129971059,31.809556118394084,4.56556510925293,97.64195972681046,136.4146728515625,0.0,0.65,0.56,
Fri Jun 24 20:03:30 GMT+02:00 2022,24-Jun-2022 20:03:32.077,-5.790955461593414,37.1912983034935,31.51448738536601,4.48021125793457,97.62381452508271,140.4928741455078,0.0,0.63,0.63,
Fri Jun 24 20:03:31 GMT+02:00 2022,24-Jun-2022 20:03:33.077,-5.790897140291877,37.19123652928079,33.26913096986527,4.409587383270264,97.48134006652981,144.9059600830078,0.0,0.59,0.72,
Fri Jun 24 20:03:32 GMT+02:00 2022,24-Jun-2022 20:03:34.077,-5.790838444192241,37.19116555541446,35.76560230876066,4.354423999786377,97.13521786220372,147.09771728515625,-0.03,0.58,0.74,
Fri Jun 24 20:03:33 GMT+02:00 2022,24-Jun-2022 20:03:35.077,-5.790778442232734,37.19108785412438,35.80887814074413,4.363636016845703,97.02379064075649,148.8656463623047,-0.04,0.54,0.68,
Fri Jun 24 20:03:34 GMT+02:00 2022,24-Jun-2022 20:03:36.077,-5.79072418528834,37.19100883309431,35.119843124817635,4.413748264312744,96.82918079476804,147.49185180664062,-0.13,0.6,0.67,
Fri Jun 24 20:03:35 GMT+02:00 2022,24-Jun-2022 20:03:37.077,-5.79066893165078,37.19093459684964,32.712759295761316,4.456204891204834,96.68715993966907,146.6219024658203,0.0,0.61,0.68,
Fri Jun 24 20:03:36 GMT+02:00 2022,24-Jun-2022 20:03:38.077,-5.79061171587091,37.190869160601004,30.221458397402785,4.4983391761779785,96.24376001022756,142.11569213867188,0.02,0.61,0.65,
Fri Jun 24 20:03:37 GMT+02:00 2022,24-Jun-2022 20:03:39.077,-5.790553800142422,37.19080949669458,29.593411233864572,4.449271202087402,95.87788211740553,140.38436889648438,0.04,0.45,0.75,
Fri Jun 24 20:03:38 GMT+02:00 2022,24-Jun-2022 20:03:40.077,-5.7904987856101044,37.19075094347018,27.170831532721195,4.434450149536133,95.68297237250954,142.37136840820312,0.02,0.44,0.8,
Fri Jun 24 20:03:39 GMT+02:00 2022,24-Jun-2022 20:03:41.077,-5.790456771396868,37.190702273383074,21.42834320523093,4.4372878074646,95.19472650252283,144.70159912109375,0.06,0.38,0.87,
Fri Jun 24 20:03:40 GMT+02:00 2022,24-Jun-2022 20:03:42.077,-5.790431005320349,37.19066758597982,12.901517717003344,4.477023124694824,94.91433071345091,145.94619750976562,0.05,0.51,0.76,
Fri Jun 24 20:03:41 GMT+02:00 2022,24-Jun-2022 20:03:43.077,-5.7904219761176705,37.19065045144627,1.268376269118619,4.375347137451172,95.08135450351983,145.94619750976562,0.04,0.64,0.63,
Fri Jun 24 20:03:42 GMT+02:00 2022,24-Jun-2022 20:03:44.077,-5.790423684170134,37.190652883541674,2.8550088602964365,4.252476692199707,95.32945345249027,145.94619750976562,0.05,0.69,0.61,
Fri Jun 24 20:03:43 GMT+02:00 2022,24-Jun-2022 20:03:45.077,-5.790435094276879,37.19066011615574,2.83249954826303,4.157426834106445,95.65528669208288,145.94619750976562,-0.01,0.63,0.67,
Fri Jun 24 20:03:44 GMT+02:00 2022,24-Jun-2022 20:03:46.078,-5.790445338227917,37.19066546846662,2.32946778325325,4.07900857925415,95.63560197222978,145.94619750976562,-0.01,0.75,0.55,
Fri Jun 24 20:03:45 GMT+02:00 2022,24-Jun-2022 20:03:47.077,-5.790451006933183,37.19066685672645,0.6208253159569281,4.124231815338135,96.03664336819202,145.94619750976562,0.0,0.66,0.65,
Fri Jun 24 20:03:46 GMT+02:00 2022,24-Jun-2022 20:03:48.079,-5.790451491143522,37.19065998725074,4.998331128270593,4.061041831970215,95.75379466917366,145.94619750976562,0.01,0.54,0.72,
Fri Jun 24 20:03:47 GMT+02:00 2022,24-Jun-2022 20:03:49.077,-5.790440103770867,37.19064412762925,9.161049027944955,3.966719627380371,95.93911002576351,145.94619750976562,-0.01,0.62,0.63,
Fri Jun 24 20:03:48 GMT+02:00 2022,24-Jun-2022 20:03:50.077,-5.790426528264752,37.190626129508395,7.540955343750966,4.056915760040283,96.05275616236031,145.94619750976562,-0.03,0.7,0.59,
Fri Jun 24 20:03:49 GMT+02:00 2022,24-Jun-2022 20:03:51.079,-5.790417035590501,37.190612938258624,5.179666906471596,4.006166934967041,96.13442580308765,145.94619750976562,-0.01,0.71,0.55,
Fri Jun 24 20:03:50 GMT+02:00 2022,24-Jun-2022 20:03:52.078,-5.790409818159809,37.1905992065982,8.015490033481115,4.09479284286499,96.10067788977176,145.94619750976562,0.06,0.75,0.58,
Fri Jun 24 20:03:51 GMT+02:00 2022,24-Jun-2022 20:03:53.078,-5.790398770908571,37.19057261586429,12.394890933701959,4.108297824859619,96.10578757338226,145.94619750976562,-0.09,0.72,0.5,
Fri Jun 24 20:03:52 GMT+02:00 2022,24-Jun-2022 20:03:54.078,-5.790381214018135,37.19053676248883,18.494476972832217,4.129916191101074,95.77768518030643,155.80665588378906,-0.04,0.68,0.63,
Fri Jun 24 20:03:53 GMT+02:00 2022,24-Jun-2022 20:03:55.078,-5.790351369286548,37.19049099028018,22.143441567329774,4.138599395751953,95.5637775072828,153.39425659179688,-0.08,0.67,0.6,
Fri Jun 24 20:03:54 GMT+02:00 2022,24-Jun-2022 20:03:56.078,-5.790308960697952,37.19044088182383,21.267166909451817,4.144947528839111,95.55000263918191,142.19317626953125,0.07,0.59,0.72,
Fri Jun 24 20:03:55 GMT+02:00 2022,24-Jun-2022 20:03:57.079,-5.790255841433555,37.190404669258925,19.940111204250343,4.1007890701293945,95.14065722282976,126.07361602783203,0.0,0.45,0.62,
Fri Jun 24 20:03:56 GMT+02:00 2022,24-Jun-2022 20:03:58.079,-5.790206353355834,37.190385306491116,15.230049302046837,4.004411697387695,94.76895279902965,118.59970092773438,0.03,0.63,0.66,
Fri Jun 24 20:03:57 GMT+02:00 2022,24-Jun-2022 20:03:59.080,-5.790170561817496,37.19037709300842,9.184148640522722,3.943894386291504,94.6118949232623,123.85379028320312,0.03,0.7,0.7,
Fri Jun 24 20:03:58 GMT+02:00 2022,24-Jun-2022 20:04:00.080,-5.790148395892493,37.19036841043412,5.952306160600813,3.9518721103668213,94.3843485135585,119.61003875732422,-0.01,0.8,0.53,
Fri Jun 24 20:03:59 GMT+02:00 2022,24-Jun-2022 20:04:01.080,-5.790129511085016,37.19036089238912,6.412950870382758,3.855351448059082,94.04394149873406,135.4263458251953,0.02,0.77,0.48,
Fri Jun 24 20:04:00 GMT+02:00 2022,24-Jun-2022 20:04:02.079,-5.790110542980841,37.190346811617445,10.380773460049795,3.82269024848938,93.8960091760382,139.9096221923828,0.02,0.62,0.71,
Fri Jun 24 20:04:01 GMT+02:00 2022,24-Jun-2022 20:04:03.080,-5.7900826086924955,37.190314939650996,19.411952076701255,3.7663817405700684,93.82915985770524,145.48023986816406,0.0,0.68,0.61,
Fri Jun 24 20:04:02 GMT+02:00 2022,24-Jun-2022 20:04:04.079,-5.7900502420224775,37.190264992336175,23.068222579208395,3.920473337173462,93.585071047768,146.5331573486328,-0.03,0.72,0.57,
Fri Jun 24 20:04:03 GMT+02:00 2022,24-Jun-2022 20:04:05.080,-5.79000755679216,37.190208307609204,26.48804155752282,4.069157123565674,93.19349859002978,148.83570861816406,-0.05,0.65,0.6,
